timestamp,ax,ay,az,gx,gy,gz
0,0.12,0.15,9.81,0.01,0.02,0.00
1,0.11,0.10,9.78,0.02,0.01,0.01
2,0.30,0.40,9.20,0.20,0.10,0.05
3,0.45,0.50,8.95,0.25,0.12,0.08
4,0.60,0.55,8.70,0.30,0.15,0.10
5,0.20,0.18,9.50,0.05,0.03,0.02
6,0.10,0.12,9.82,0.01,0.01,0.00
7,-0.15,-0.10,9.76,-0.02,-0.01,0.00
8,-0.30,-0.25,9.40,-0.10,-0.05,-0.02
9,-0.50,-0.45,8.90,-0.20,-0.10,-0.05
10,-0.10,-0.08,9.79,-0.01,0.00,0.00
11,0.05,0.07,9.83,0.00,0.01,0.00
12,0.25,0.30,9.30,0.12,0.08,0.03
13,0.40,0.35,9.00,0.18,0.10,0.05
14,0.15,0.12,9.70,0.04,0.02,0.01
15,0.08,0.10,9.85,0.00,0.00,0.00
16,0.35,0.45,9.10,0.22,0.14,0.07
17,0.55,0.60,8.60,0.35,0.18,0.12
18,0.25,0.22,9.45,0.08,0.04,0.02
19,-0.05,-0.03,9.88,0.00,0.00,0.00
20,-0.20,-0.18,9.60,-0.06,-0.03,-0.01
