timestamp,ax,ay,az,gx,gy,gz
0,0.10,0.13,9.80,0.00,0.01,0.00
1,0.13,0.12,9.76,0.03,0.02,0.01
2,0.28,0.38,9.25,0.18,0.09,0.04
3,0.50,0.46,8.88,0.27,0.13,0.07
4,0.65,0.58,8.62,0.33,0.16,0.11
5,0.24,0.20,9.47,0.06,0.04,0.02
6,0.12,0.15,9.79,0.02,0.01,0.00
7,-0.12,-0.08,9.74,-0.01,-0.02,0.00
8,-0.35,-0.28,9.35,-0.12,-0.06,-0.03
9,-0.55,-0.48,8.82,-0.22,-0.11,-0.06
10,-0.08,-0.05,9.81,-0.01,0.01,0.00
11,0.07,0.09,9.86,0.01,0.01,0.00
12,0.30,0.34,9.24,0.14,0.09,0.04
13,0.45,0.39,8.94,0.20,0.11,0.06
14,0.18,0.14,9.67,0.05,0.03,0.01
15,0.10,0.12,9.84,0.01,0.00,0.00
16,0.38,0.49,9.04,0.24,0.15,0.08
17,0.60,0.64,8.52,0.38,0.20,0.13
18,0.28,0.25,9.40,0.09,0.05,0.02
19,-0.03,-0.01,9.90,0.00,0.00,0.00
20,-0.24,-0.20,9.55,-0.07,-0.04,-0.02
